broad_money,petrol_future,M_0,Target
33952.1,17.76,8724.1,1
33952.1,17.43,8724.1,0
33952.1,17.45,8724.1,1
33952.1,16.96,8724.1,0
33952.1,17.03,8724.1,0
33952.1,17.1,8724.1,1
33952.1,16.98,8724.1,1
33952.1,17.08,8724.1,0
33952.1,17.08,8724.1,1
33952.1,17.01,8724.1,1
33952.1,16.79,8724.1,0
33952.1,16.81,8724.1,0
33952.1,17.06,8724.1,0
33952.1,16.88,8724.1,1
33952.1,17.89,8724.1,0
33952.1,16.73,8724.1,1
33952.1,16.43,8724.1,0
33952.1,16.83,8724.1,0
33952.1,16.53,8724.1,1
