BIGau,LGdija,BIGpf
63.58744,118.8174,142.753
65.77972,132.05025,-43.54242
0,3.17815,51.00581
-91.10309,5.98883,28.24448
31.6312,-30.78948,10.35973
-3.15277,100.28037,-4.43686
31.42521,-21.1978,-40.13703
-40.89728,7.0893,10.44157
130.76521,-21.30272,14.87311
-38.19894,-54.46097,-8.91775
16.67634,36.6465,-29.8588
-3.08338,9.90197,5.9882
-33.44078,18.16656,60.9077
-41.22487,80.4367,36.72392
-12.57004,-27.93962,27.70396
77.97238,2.32637,-16.01758
-15.48289,14.38872,20.37578
0,-30.34584,-7.2661
-3.10321,14.79409,1.45419
9.30299,-18.33236,-17.48253
-40.45768,-12.90371,-69.15898
12.48871,3.90352,-7.42257
-88.82103,-42.8821,-28.32203
-37.71217,-11.9094,-23.99423
28.79311,35.16748,59.73883
-9.57651,-41.09847,-8.90861
-16.64947,-17.51669,20.7584
23.67431,-16.39115,25.07396
-23.03276,8.40231,-32.47629
-21.22121,99.93349,5.92287
58.90565,32.65454,-10.37033
-79.58331,-1.54441,-11.88221
19.38818,-38.15224,5.94517
41.71313,-47.18181,56.07686
-15.99613,12.62012,-5.86885
60.47438,-53.15876,-16.18034
53.40397,11.98154,1.47343
-34.48044,7.56165,10.30006
13.82504,17.80781,-1.46994
-10.67912,16.59307,5.87679
-18.9098,-36.02012,11.72977
20.79626,-27.90973,4.39051
-1.88646,-27.68924,-10.25143
40.69095,-31.09669,-11.74563
-28.13,16.60041,-10.30355
-30.8391,-17.8122,-10.32805
-27.8801,-17.07433,-4.43384
-7.63483,-10.18821,11.81353
-41.59021,7.75407,-17.73236
4.49813,21.52792,-7.40991
10.26398,27.88241,-32.75462
-3.20489,44.48833,-40.53945
10.88699,-18.77755,-18.13972
13.41106,-6.82197,-126.02493
-13.41106,105.79553,-48.61264
0,1.94885,25.15833
-14.09424,-31.03729,116.02502
20.48563,-14.97563,-13.76044
0,12.22741,22.90991
-19.20244,-19.35807,21.27409
-11.56235,-21.8229,-10.62402
-17.40145,-12.77784,-25.90991
-9.69769,57.09947,-29.14224
-25.96686,-35.57212,36.77886
3.90494,34.78717,42.51868
119.34386,-1.57034,-13.62137
-8.23548,44.71023,-15.18514
46.04429,52.3606,22.75784
18.78168,-38.32185,4.53729
-6.25154,-15.98236,-7.56479
-3.75525,-34.49306,-22.77375
-13.169,0.784,-16.77698
58.63876,-45.08071,6.10822
-58.01075,1.18761,-3.05304
-25.82282,-2.77161,-32.18714
15.76388,-66.10416,-23.13775
-20.18804,-9.69886,-38.83897
-9.49555,35.86894,3.11993
-29.88787,23.1949,-17.18743
-43.60938,-28.38594,-91.76691
-51.87216,27.99445,23.91935
-51.17897,-52.99877,1.58995
21.06951,-43.19716,25.36033
-21.06951,-16.47929,-26.95028
6.59521,-23.88171,-1.59053
32.82665,9.72237,34.85783
-27.55768,-49.64641,28.3134
11.17537,-4.11655,-3.13683
-49.521,-27.09581,-34.65553
-9.97232,33.65819,-1.58184
6.65076,22.42989,-31.75842
-30.00895,-11.81021,-85.30053
-3.34716,-23.30848,-24.44899
-23.50266,26.19018,-19.65878
-102.19165,3.24886,57.09118
-83.52074,126.49542,-1.6208
4.21441,-12.67196,-66.97922
-25.348,-17.11007,-8.23932
49.15269,-15.58369,27.95015
0,-4.38054,47.2684
0,-23.05254,-73.56943
-25.20904,5.95495,11.52631
-52.28271,-45.76418,-81.33404
-45.73067,-32.90828,-13.42488
12.19425,-17.77574,-112.36784
-70.7712,20.5854,65.05124
54.26491,4.04709,-13.61426
-21.62467,40.04815,-8.53063
47.43293,74.32219,55.99499
6.42817,-19.24596,1.6856
-75.59399,58.25788,58.58754
40.48047,-13.21207,-35.0576
12.93186,-0.388,-48.88288
39.98794,-7.02819,11.84979
35.39502,-4.70358,-1.69085
-10.58825,118.70532,48.7693
-4.95003,-6.44326,-70.81045
-95.13872,52.20035,-28.99287
8.67,-14.67466,-17.14548
-28.96756,19.20355,-5.15687
-16.0149,6.01985,-3.44132
79.49039,49.97791,25.74367
-5.01536,-15.95472,49.34251
53.43696,-3.74472,123.42533
-43.41202,-30.65234,53.93002
-33.74712,41.8095,-35.87883
11.51784,-16.35788,42.37053
11.48738,-15.70748,46.77683
-17.24248,32.06536,22.40286
-26.71701,-0.37,60.23159
5.06719,-47.08515,70.26309
33.87031,1.87147,-106.61916
10.03818,71.89683,72.41033
13.58624,-33.72526,-3.1233
-2.14237,-19.80599,0
-20.0466,-4.84694,-80.4126
4.3035,8.60553,-17.54083
-43.9522,-13.86532,-6.39609
-21.05234,-10.87913,-61.23734
-210.98345,5.64695,-52.24658
22.85766,29.17206,57.11263
76.08163,-17.18815,-16.2414
-45.7907,10.09106,6.50385
-7.55295,51.61087,75.69945
21.11524,-32.98043,85.37553
-11.29897,7.80639,-29.84854
-7.54901,-38.766,34.54277
33.11794,-30.08879,48.21224
20.94431,-6.39174,-52.90647
0,-3.79848,-26.69691
-38.22446,10.94157,54.78648
27.01685,-34.45643,21.72253
7.47495,-5.68324,20.07409
29.02999,-43.99447,19.98173
90.30538,8.07013,80.52568
252.63363,73.80958,-7.5333
98.28387,-20.03389,27.05893
-74.35574,10.21684,-96.98535
-41.10073,-2.63762,-15.35154
-12.40645,-25.80972,-23.12953
124.51059,-0.758,55.30532
88.30262,17.85601,-44.4962
-54.89518,-14.44428,13.85802
39.75263,20.86,6.14495
-108.85478,20.41908,65.51488
-31.90112,-24.19188,19.61382
33.92943,-26.22563,-4.51841
-61.26513,3.41623,12.03866
0,-20.98838,28.45878
86.20334,3.04909,-5.97585
55.42697,21.00816,28.31232
65.85334,12.90685,-44.78842
-30.82674,6.83369,-39.1938
56.891,3.77281,69.104
-48.99952,9.48612,-14.92935
-41.59119,9.43131,-13.48044
31.72459,-24.57786,10.4884
-36.37052,4.90614,43.1841
9.94948,0,72.00446
-14.60038,41.46293,-221.23015
-62.26791,-0.747,-60.22313
6.73847,21.31432,-9.33967
13.44566,-32.57275,10.89433
-13.44566,-52.97468,-43.74226
-15.51415,-5.7267,-4.71291
-121.28283,-55.62275,-47.41253
10.41058,0.769,4.76461
-6.93761,17.34033,-11.12557
0,1.9147,-15.94328
10.40227,17.22911,19.12493
-9.01386,-10.30841,-22.32062
31.12244,36.30028,65.04623
-8.27753,47.67186,-31.60818
88.84383,11.30125,33.18257
73.78153,-14.3017,11.00475
-50.16935,0.75,20.36371
-35.80577,15.42075,21.82389
32.44045,24.70178,-20.2614
10.75986,65.52552,15.59407
-114.33044,16.01253,15.53828
18.57874,-19.74175,-141.8874
-11.68845,-23.54792,79.39791
-9.64946,17.58117,15.70687
-47.87383,-1.50131,-20.43003
10.45234,4.86903,11.01273
36.04124,9.32263,43.77375
-8.2907,31.91127,-12.46183
56.34021,-14.81637,-56.52503
-33.57875,14.45318,-1.58069
-19.99613,17.33318,-71.73315
8.28543,22.04412,9.63315
-6.90343,-35.68079,-25.73604
-31.89787,6.65899,-17.78242
41.5596,-15.17891,22.61956
-6.89904,-24.86255,9.65815
-10.36915,-54.3285,63.84451
61.84678,36.40568,-19.055
8.86107,-8.58782,-9.55894
65.55258,21.28801,-1.5952
22.07772,-24.66764,12.74526
-98.53879,7.85945,-15.93743
-63.95395,81.92261,-44.93848
16.59462,-12.87266,-4.84253
11.71627,8.11554,-22.67016
17.1726,2.55965,30.73805
-24.0607,27.47032,24.11414
37.75005,10.58195,-35.41339
-52.94244,5.45996,-30.81841
-78.8823,-10.17796,42.11766
29.48664,-24.87846,-4.83894
-15.42041,-19.7017,12.89187
77.93989,-21.30248,73.39464
0,35.92422,15.79254
-17.96893,15.64417,-28.46806
28.98989,2.92094,-41.4528
2.75088,-10.19936,31.92183
80.37674,40.23567,9.53097
51.65841,32.35724,17.41931
-75.34418,-22.60544,1.58011
-14.95459,27.62358,-14.24177
-22.52888,-6.07365,47.29206
71.28088,-18.6897,-85.50003
-64.4416,-9.359,28.68745
-4.78637,15.13799,-4.7681
-6.16166,11.11896,-1.59053
128.9243,-42.51423,9.53446
-16.6588,7.23297,-3.17583
29.93999,4.35334,-35.08825
-72.2058,26.25309,11.19522
-21.62691,-8.24122,19.12493
43.81743,-19.81717,3.17932
-53.31318,-70.6381,-11.1378
18.29467,-0.393,1.59286
18.21793,15.76935,6.36562
-11.46163,-29.72151,9.53097
66.99107,-21.42569,33.19464
-1.99477,3.33617,4.72145
-6.65586,5.5436,18.83463
67.41581,2.57141,51.37797
55.3913,-16.64219,-4.64569
71.28691,-0.728,-6.20199
-86.85536,36.90257,15.48841
22.68538,19.08572,-32.5897
-5.17479,-37.49781,13.99697
-8.42221,0.725,-3.10654
0,-2.20774,23.24508
14.88974,15.85763,-3.09216
62.87724,28.21592,3.09216
-49.971,13.16134,-24.79918
-48.59743,-3.64469,21.70702
-66.31581,-15.7202,30.82302
-29.20977,-8.07789,-1.53597
-3.33176,-2.91434,-46.33342
-112.77502,32.17833,-34.29479
26.59998,11.62466,-17.24949
31.16635,-18.91405,39.10476
-12.16891,-45.8709,-1.55745
-20.35759,-23.26733,24.8524
27.7982,-15.61431,-4.649
-27.11807,4.84611,-13.97695
-23.18425,-36.5787,24.8169
-18.4996,7.48738,3.09216
0.687,21.28842,15.42788
38.95657,-29.51186,79.35327
111.50146,61.03564,-102.5157
5.96422,15.84087,27.78013
7.93957,-29.91882,29.13195
9.9041,28.83387,72.73769
-37.83135,25.70282,22.45969
-46.91498,40.0853,-7.47366
36.23615,-23.64202,34.27286
-0.668,-1.82396,7.41497
41.24132,-14.25977,-46.17821
-29.89419,-14.30675,23.89522
7.99193,3.67121,16.35203
2.66071,4.0282,-43.24341
-13.98695,4.4169,-48.22195
1.33403,38.64385,10.5944
13.98266,47.67396,49.59984
4.6509,-12.58481,43.12496
-44.72141,56.50535,1.47946
24.75382,2.50635,28.01434
9.99527,-1.42749,-4.41132
-1.33137,-14.93744,65.7039
21.25318,0.7,44.69128
-24.5834,8.90365,-138.43808
3.99596,-15.33835,38.32902
-10.66408,-18.59307,8.79733
14.65637,11.09514,75.50612
-2.66112,27.82071,7.1915
-1.33117,21.64909,-14.39492
-14.66987,-3.97989,37.32802
-21.42684,50.08197,1.42931
24.76526,-1.78096,-28.67587
-10.02296,21.78997,-33.21304
-2.6767,21.00046,54.73767
-18.78323,-12.08535,7.15124
-14.14093,14.93136,8.56597
15.48529,84.28172,34.09591
0,5.21369,18.35746
18.77743,-17.75823,30.89078
10.69362,34.75017,43.15833
1.33485,-12.48047,-52.9634
-25.43264,14.89386,-5.61285
11.39617,-3.10748,53.03148
17.3718,0.694,56.50111
1.99997,69.00385,-125.00544
9.32106,6.1139,12.66371
48.93883,-22.83747,14.02761
13.78818,0.358,-37.97903
-40.83478,56.04145,-142.16893
-88.91431,-42.15448,0
14.83386,3.42437,-101.9136
21.48647,74.77794,-63.22596
-18.79484,-4.36152,36.24175
-6.73221,-16.81375,-21.10425
-66.53383,57.94184,-189.96173
-5.4766,6.31971,-375.7334
-20.59899,36.0604,258.93322
27.44366,-1.32173,75.55934
3.4183,68.34351,19.08291
11.60212,50.31629,-15.89659
34.62155,-24.11507,-137.52325
-14.90095,-5.82449,18.04437
77.33248,4.1933,-75.96219
-3.3338,-2.58867,-50.26613
27.26193,-40.20934,-33.83691
-36.61022,20.93306,109.01959
26.65618,46.71962,109.58115
-0.664,20.9464,-37.30657
0,-10.62905,-59.04397
-6.64974,-25.17575,-123.94899
5.98522,32.27401,69.111
16.58247,-4.51574,99.19605
26.40096,50.55411,-60.90263
34.08305,-109.83222,-44.98775
11.73593,-23.90534,-5.02753
89.575,-13.46535,-18.48422
-13.41501,20.0396,-121.2381
20.42541,-4.25783,-20.82951
72.62091,23.52298,32.93408
198.90155,40.58645,-183.40779
-126.24317,-13.91062,-102.06299
-19.75191,-21.44682,-442.23422
67.52418,-41.89469,-141.11143
-42.84829,-35.01163,-42.39121
-33.34568,25.79664,-123.13576
45.63125,53.38121,-70.69039
53.64739,21.74634,286.54659
-65.93296,52.80608,-139.83372
3.07465,7.02598,-111.22385
58.00856,-18.87317,0
-91.95004,52.31337,-187.33193
-39.83239,63.88453,-353.00599
-110.1783,-2.83398,-509.02425
-16.70613,-0.3,197.9406
-2.57589,20.58742,77.24546
1.28813,34.40204,313.16358
37.82909,34.74589,-226.90304
-55.89783,-9.51674,-59.93958
18.71267,18.98602,-220.69275
-42.05492,40.15429,199.64877
-34.59492,50.86371,-123.02267
76.64983,37.23033,-350.10837
53.11558,-53.41162,101.71296
-55.04764,37.96587,-281.81941
11.57948,64.14295,-200.72054
48.55358,1.45788,479.66668
132.63841,-14.39564,-164.01471
-82.73711,10.86518,14.89862
-112.61178,43.52034,-197.78648
16.08381,-12.50974,-220.30684
-32.8744,-31.59929,-336.98961
20.01212,-26.31637,-103.87745
55.67544,0.618,39.69483
37.98518,25.51917,368.29588
-14.52175,8.26027,-300.57522
-39.38918,7.96407,197.04761
33.69351,108.54779,83.68168
12.01544,-1.49263,291.6684
72.02395,20.50366,-443.4761
-19.9218,95.5953,23.96586
23.64699,-38.64098,160.8682
15.4873,31.68278,170.96606
-54.76203,-4.66119,-144.72462
48.57373,39.38937,-166.67221
27.77815,-86.74509,377.3192
-33.35517,35.14494,-604.01973
19.17964,-10.80423,42.75288
-92.97083,77.92632,-82.31621
-3.7858,26.35125,-214.78443
0,-7.42051,-405.58305
-139.8381,-68.59856,340.56197
31.17892,12.47636,95.28563
-9.71939,-70.38298,85.85388
-3.24464,-67.34535,351.31561
40.70632,-9.274,510.76762
22.45084,84.87255,-603.79737
-19.87915,21.68797,180.76899
-1.92863,38.11886,157.4654
54.31547,-9.98356,41.68233
-4.44746,36.55087,-209.18149
1.90661,10.42799,-91.36255
-35.08825,91.00329,-457.57491
11.51466,16.56021,149.38514
36.26299,-34.38713,32.91511
-17.13947,36.42347,230.59022
34.21156,-58.70971,212.38654
26.42391,-3.25075,3.28886
-18.22789,5.00562,-76.28125
-3.78086,9.11864,135.05885
-16.42186,19.31082,-9.74119
-8.86833,-42.27423,48.48891
41.65018,-100.84629,-54.99519
-8.17229,-15.11965,150.37849
-44.27097,-7.57961,280.09068
0,46.46701,-119.56556
-15.28311,-14.11387,-3.03172
26.07619,-30.83617,261.86196
35.36517,26.60763,148.75514
1.25773,7.82198,32.98455
-1.88673,-5.09969,-24.7149
-18.91255,-4.8381,32.92204
-15.82362,55.44744,-105.12099
-5.71064,-81.45624,47.34261
12.68014,-36.56742,130.95298
-27.94534,-3.99978,260.75927
-26.84389,63.26646,-293.1292
2.56372,-21.50031,-343.5616
19.8177,75.49932,98.50998
8.28381,40.65868,121.46914
5.08989,70.267,-138.69168
28.51999,58.77884,-78.35796
-13.28602,9.40044,-85.76745
6.33175,-13.0321,-72.28369
-17.11695,-34.29154,-151.42359
4.44421,19.73445,18.82782
-18.44141,-16.61006,-248.05165
12.72659,37.48013,42.88549
-1.27098,14.90195,-157.0917
1.90633,-106.65435,-44.47324
74.32632,-6.99153,-24.13711
-3.74877,20.94092,310.2231
11.86001,-18.71942,54.3875
-26.88751,84.37393,47.42979
-87.43204,-5.61134,-47.42979
-32.76255,-13.92049,25.36033
30.84217,7.34926,-28.54081
0.64,-30.50148,34.85783
5.75775,55.06361,284.03362
17.86435,-35.45091,-530.78443
12.08052,26.22165,-40.27489
27.21668,21.94228,126.27661
9.4542,-11.18826,-39.48159
-5.03968,11.67205,85.09433
28.27244,17.15118,-205.73945
-20.7151,24.75636,-138.10209
-35.3806,12.50746,-139.01462
32.23331,-144.03751,-299.89097
37.61777,-43.03118,11.6277
3.12016,12.71874,-177.77154
-16.24934,13.67746,189.36819
16.24934,-24.72682,-46.57358
-29.41835,-67.23212,-35.26091
3.1391,-60.35098,401.7507
20.03669,13.43503,175.70943
-7.50293,18.56401,-72.93401
11.24954,-9.27208,158.19283
74.87488,2.75929,76.98678
-5.52499,38.93104,-727.92026
-77.47164,7.83144,-87.17883
17.47415,-16.33147,79.3254
9.33231,44.42271,-59.3578
51.89356,-87.59039,67.21123
-28.95923,-17.24537,131.38024
4.94289,30.66549,120.12368
71.65424,-9.96946,-220.23145
42.31156,-28.64259,153.07117
-14.46043,15.55965,609.42997
-15.71999,17.21522,531.44952
46.99029,6.17886,-14.48132
-7.19626,16.44222,100.36965
83.2235,-8.90761,-141.17614
220.40813,68.98043,23.36492
-45.00501,57.95205,126.30736
45.00501,21.24282,-19.85026
-30.89078,0.989,39.61019
-1.69129,25.09179,111.22105
-89.4427,32.45752,-58.03576
-32.93408,-15.38242,-210.91935
41.5596,42.73107,112.43565
31.48112,-0.323,56.54956
62.2858,15.2332,8.41928
