,y,m,d,lgrpf,lgm3,lgm1
-0.026767,1985,11,6,0.005473767,0,0
-0.1878323,1985,11,7,0.000715124,0,0
-0.1414093,1985,11,8,0.000856597,0,0
0.1548529,1985,11,11,0.003409591,0,0
0,1985,11,12,0.001835746,0,0
0.1877743,1985,11,13,0.003089078,0,0
0.1069362,1985,11,14,0.004315833,0,0
0.0133485,1985,11,15,-0.00529634,0,0
-0.2543264,1985,11,18,-0.000561285,0,0
0.1139617,1985,11,19,0.005303148,0,0
0.173718,1985,11,20,0.005650111,0,0
0.0199997,1985,11,21,-0.012500544,0,0
0.0932106,1985,11,22,0.001266371,0,0
0.4893883,1985,11,25,0.001402761,0,0
0.1378818,1985,11,26,-0.003797903,0,0
-0.4083478,1985,11,27,-0.014216893,0,0
-0.8891431,1985,12,2,0,0,0
0.1483386,1985,12,3,-0.01019136,0,0
0.2148647,1985,12,4,-0.006322596,0,0
-0.1879484,1985,12,5,0.003624175,0,0
-0.0673221,1985,12,6,-0.002110425,0,0
-0.6653383,1985,12,9,-0.018996173,0,0
-0.054766,1985,12,10,-0.03757334,0,0
-0.2059899,1985,12,11,0.025893322,0,0
0.2744366,1985,12,12,0.007555934,0,0
0.034183,1985,12,13,0.001908291,0,0
0.1160212,1985,12,16,-0.001589659,0,0
0.3462155,1985,12,17,-0.013752325,0,0
-0.7708563,1985,6,25,0.005390973,0,0
0.171726,1985,6,26,0.003073805,0,0
-0.240607,1985,6,27,0.002411414,0,0
1.4307146,1985,12,20,-0.021694586,0,0
0.2726193,1985,12,23,-0.003383691,0,0
-0.3661022,1985,12,26,0.010901959,0,0
0.2665618,1985,12,27,0.010958115,0,0
-6.64E-03,1985,12,30,-0.003730657,0,0
0,1985,12,31,-0.005904397,0,0
-1.617835,1985,7,10,0.020165855,0,0
-0.1796893,1985,7,11,-0.002846806,0,0
0.2898989,1985,7,12,-0.00414528,0,0
0.0275088,1985,7,15,0.003192183,0,0
-1.846846,1985,1,16,-0.027742575,0,0
0.3998794,1985,1,17,0.001184979,0,0
0.3539502,1985,1,18,-0.000169085,0,0
-0.1058825,1985,1,21,0.00487693,0,0
-0.0495003,1985,1,22,-0.007081045,0,0
-0.9513872,1985,1,23,-0.002899287,0,0
0.0867,1985,1,24,-0.001714548,0,0
-0.2896756,1985,1,25,-0.000515687,0,0
-0.160149,1985,1,28,-0.000344132,0,0
0.7949039,1985,1,29,0.002574367,0,0
-0.0501536,1985,1,30,0.004934251,0,0
0.5343696,1985,1,31,0.012342533,0,0
-0.4341202,1985,2,1,0.005393002,0,0
-0.6630579,1985,1,14,-0.01018823,0,0
0.4048047,1985,1,15,-0.00350576,0,0
-1.6124833,1985,2,27,0.012881161,0,0
-0.457907,1985,2,28,0.000650385,0,0
-0.0755295,1985,3,1,0.007569945,0,0
0.2111524,1985,3,4,0.008537553,0,0
-0.1129897,1985,3,5,-0.002984854,0,0
-0.0754901,1985,3,6,0.003454277,0,0
0.3311794,1985,3,7,0.004821224,0,0
0.2094431,1985,3,8,-0.005290647,0,0
1.3951487,1985,1,9,-0.037760097,0,0
0.4743293,1985,1,10,0.005599499,0,0
0.0642817,1985,1,11,0.00016856,0,0
2.1987245,1985,12,18,0.012622831,0,0
0.7733248,1985,12,19,-0.007596219,0,0
-2.7939865,1985,1,2,-0.002506034,0,0
-0.4573067,1985,1,3,-0.001342488,0,0
0.1219425,1985,1,4,-0.011236784,0,0
-0.707712,1985,1,7,0.006505124,0,0
0.5426491,1985,1,8,-0.001361426,0,0
16.0971114,1988,7,5,-0.227510184,0.083365963,0.091682241
-0.3938867,1988,6,29,0.009676686,0,0
0.2994802,1988,6,30,-0.007666725,0,0
0.0298347,1988,7,1,-0.006348604,0,0
0.2231097,1988,7,15,-0.002331788,0,0
-0.3425719,1988,7,18,0.023880843,0,0
0.0597722,1988,7,19,-0.013199749,0,0
0.8429339,1988,7,20,0.012091854,0,0
-0.1173241,1988,2,12,0.029223054,0,0
0.1368474,1988,2,16,-0.002079212,0,0
-0.8077381,1988,7,6,-0.035544384,0,0
0.4057469,1988,7,7,0.013089699,0,0
-0.1480046,1988,7,8,-0.010271425,0,0
-0.2577423,1988,7,11,-0.019535056,0,0
-0.2993082,1988,7,12,-0.001766624,0,0
0.1199709,1988,7,13,-0.008340617,0,0
0.5703064,1988,7,14,0.009519164,0,0
-1.0269609,1988,2,26,0.029020641,0,0
-0.4360219,1988,2,29,0.006284333,0,0
0.3198396,1988,3,1,-0.00793879,0,0
-0.0404842,1988,3,2,-0.001383545,0,0
0.0202468,1988,3,3,-0.004737298,0,0
0.2724123,1988,3,4,0.002514417,0,0
1.3662544,1988,2,17,0.027523517,0,0
0.1605167,1988,2,18,-0.00420373,0,0
-0.4244669,1988,2,19,0.006550569,0,0
0.2542028,1988,2,22,-0.002085452,0,0
-0.303259,1988,2,23,-0.000522931,0,0
-0.6577723,1988,2,24,-0.003678257,0,0
-0.3653129,1988,2,25,-0.014486767,0,0
1.39453,1988,3,16,0.002176919,0,0
-0.0681858,1988,3,17,0.007534418,0,0
-0.2591059,1988,3,18,0.007930126,0,0
0.6231437,1988,3,21,-0.002363871,0,0
-0.1307023,1988,3,22,-0.010664612,0,0
0.1548634,1988,3,23,0.020301526,0,0
-1.3342827,1988,3,7,-0.040183703,0,0
0.0448111,1988,3,8,0.002254616,0,0
0.0149268,1988,3,9,0.001122934,0,0
0.583087,1988,3,10,0.014068565,0,0
-0.0589407,1988,3,11,0.007801102,0,0
0.044213,1988,3,14,-0.019074969,0,0
-4.91E-03,1988,3,15,0.002499943,0,0
-0.0491339,1988,2,5,0.04219768,0,0
0.0393116,1988,2,8,0.009446961,0,0
-0.3451888,1988,2,9,-0.005942549,0,0
0.246843,1988,2,10,-0.007290788,0,0
-0.0492565,1988,2,11,-0.000507353,0,0
0.9939415,1988,4,12,0.024188557,0,0
-0.1399161,1988,4,13,0.000719626,0,0
0.0965421,1988,4,14,0.004292896,0,0
0.5700302,1988,4,15,0.001658067,0,0
0.1615009,1988,4,18,0.003531826,0,0
-0.104432,1988,4,19,-0.011645256,0,0
0.0475002,1988,4,20,-0.007042111,0,0
-0.3001224,1988,4,21,0.014919061,0,0
-0.5435667,1988,4,22,-0.001421587,0,0
0.1546221,1988,4,25,0.002366733,0,0
-0.3097968,1988,4,26,0.004695121,0,0
0.3194424,1988,4,27,-0.007774397,0,0
0.173256,1988,4,28,-0.00694886,0,0
-0.2988166,1988,4,29,0.000241476,0,0
0,1988,5,2,-0.021020346,0,0
-0.3008869,1988,5,3,0.005789001,0,0
-0.2588728,1988,5,4,-0.004271372,0,0
0.1564851,1988,5,5,0.004771135,0,0
-0.2005983,1988,5,6,0.008654033,0,0
0.1566438,1988,5,9,-0.004924026,0,0
0.2193288,1988,5,10,-0.00198535,0,0
0.2375717,1988,5,11,0.00074557,0,0
0.1833487,1988,5,12,-0.000248381,0,0
-0.1446846,1988,5,13,0.000248381,0,0
0.3608117,1988,5,16,0.00420089,0,0
0.1387141,1988,5,17,0.002452262,0,0
-0.0669101,1988,5,18,-0.008145574,0,0
0.3714791,1988,5,19,0.000498044,0,0
-0.3762623,1988,3,24,-0.012369583,0,0
-0.2061794,1988,3,25,0.0017888,0,0
0.2013956,1988,3,28,0.001781462,0,0
0.0955754,1988,3,29,-0.003058424,0,0
-0.1099299,1988,3,30,0.00255018,0,0
0.3052044,1988,3,31,0,0,0
0,1988,4,4,-0.001783553,0,0
-0.3195636,1988,4,5,-0.005653617,0,0
-0.3605321,1988,4,6,0.000517017,0,0
-0.256593,1988,4,7,0.006411313,0,0
0.2131273,1988,4,8,-0.004606585,0,0
-0.058022,1988,4,11,0.025237898,0,0
0.8433168,1988,6,10,-0.0291144,0,0
-0.8239675,1988,6,13,-0.007858378,0,0
-0.2424878,1988,6,14,0.010446553,0,0
0.5316972,1988,6,15,-0.007811262,0,0
0.1821748,1988,6,16,0.003402143,0,0
-0.3506461,1988,6,17,-0.005509095,0,0
0.3793408,1988,6,20,-0.01204592,0,0
-0.2445115,1988,6,21,-0.002996085,0,0
-0.3039567,1988,6,22,0.014777916,0,0
-0.0678358,1988,6,23,-0.001853134,0,0
-0.4435345,1988,6,24,-0.009657347,0,0
4.90E-03,1988,6,27,-0.004088149,0,0
0.0538493,1988,6,28,-0.002196184,0,0
3.4457168,1988,1,4,0.049620834,0,0
-0.4542871,1988,1,5,0.003910388,0,0
0.5355565,1988,1,6,-0.000730521,0,0
0.1890392,1988,1,7,-0.010608118,0,0
0.0359144,1988,1,8,-0.002002514,0,0
0,1988,1,11,-0.014282257,0,0
-0.3152623,1988,1,12,-0.003122562,0,0
0.1353928,1988,1,13,-0.001045863,0,0
-0.045084,1988,1,14,0.015934484,0,0
-0.0993499,1988,1,15,-0.006611168,0,0
-0.4453409,1988,1,18,0.00962886,0,0
0.1550239,1988,1,19,0.000500916,0,0
0.0500366,1988,1,20,-0.00251038,0,0
-0.0409347,1988,1,21,-0.00176594,0,0
-0.0911044,1988,1,22,-0.004318846,0,0
4.56E-03,1988,1,25,0.002037749,0,0
-0.59682,1988,1,26,-0.001272472,0,0
-2.3750832,1988,7,21,-0.016890637,0,0
-0.2497219,1988,7,22,-0.000265056,0,0
-0.3649141,1988,7,25,-0.008838861,0,0
-0.7290846,1988,7,26,-0.00244215,0,0
0.165867,1988,7,27,0.005408469,0,0
-0.0100345,1988,7,28,-0.00026883,0,0
0.4045553,1988,7,29,0.004281434,0,0
-0.2192908,1988,8,1,-0.006167917,0,0
-0.1852645,1988,8,2,-0.012883141,0,0
0.1352709,1988,8,3,-0.009848369,0,0
-0.1001602,1988,8,4,-0.006595553,0,0
-0.0250762,1988,8,5,0.006595553,0,0
-0.0853675,1988,8,8,0.017022393,0,0
-0.627809,1988,8,9,-0.005230868,0,0
0.1425587,1988,8,10,0.000830127,0,0
0.0761787,1988,8,11,0.001380028,0,0
0.5345541,1988,8,12,-0.006664496,0,0
-0.3017692,1988,8,15,0.002511186,0,0
0.2415829,1988,8,16,-0.003351485,0,0
-0.3679416,1988,8,17,-0.000561104,0,0
0.1566301,1988,8,18,0.002798299,0,0
0.2062922,1988,8,19,0.00444011,0,0
-0.1609245,1988,8,22,0.000827491,0,0
0.1609245,1988,8,23,-0.001656561,0,0
0.0401381,1988,8,24,-0.000553594,0,0
0.1201923,1988,8,25,-0.010370868,0,0
-0.10515,1988,8,26,0.000850169,0,0
0,1988,8,29,-0.003410707,0,0
-0.5448301,1988,8,30,0.001424385,0,0
0,1988,8,31,-0.002567265,0,0
0.2682244,1988,9,1,-0.00287043,0,0
-0.166813,1988,9,2,-0.008433168,0,0
-0.0303986,1988,9,6,-0.016458185,0,0
-0.1218076,1988,9,7,-0.002446736,0,0
0.10153,1988,9,8,0.009705309,0,0
0.1164668,1988,9,9,-0.009092331,0,0
-1.0233614,1988,9,12,0.009392155,0,0
0.1085931,1988,9,13,0.00209299,0,0
0.1083222,1988,9,14,0.024359346,0,0
-0.2739059,1988,9,15,-0.014334452,0,0
-0.3853478,1988,9,16,-0.009726717,0,0
-0.6481734,1988,9,19,0.004743195,0,0
0.1060549,1988,9,20,0.009045089,0,0
-1.001871,1988,9,21,-0.014086461,0,0
-0.3154959,1988,9,22,0.00267625,0,0
0.2829645,1988,9,23,-0.014161394,0,0
-0.5513019,1988,9,26,0.000612114,0,0
0.1973073,1988,9,27,-0.001838935,0,0
-0.1863222,1988,9,28,-0.000922396,0,0
0.3391661,1988,9,29,-0.005887778,0,0
-0.1966125,1988,9,30,-0.017507828,0,0
-0.0767015,1988,10,3,-0.01018823,0,0
0.273314,1988,10,4,0.000332411,0,0
-0.3336746,1988,10,5,-0.015905042,0,0
0.9020955,1988,10,6,0.002063161,0,0
0.0161318,1988,10,7,0.009500571,0,0
0.3053708,1988,10,10,0.021604632,0,0
0.0533531,1988,10,11,-0.001599613,0,0
-0.0907394,1988,10,12,0.017587719,0,0
0.0320473,1988,10,13,0.003067064,0,0
