,test_begin,loss,accu,dsa_cov,dsa_mean,dsa_std,dsa_max,dsa_min,lsa_cov,lsa_mean,lsa_std,lsa_max,lsa_min,sharpe,drawdown,annual_return
30,17740,0.6905623769760132,0.5759999752044678,45.0,0.5376843214035034,0.38459572196006775,2.6234421730041504,0.0971822589635849,5.0,-43.26388593976019,6.840897152980434,-8.973956916262672,-48.58829919752509,,1.7349999999999708,-78.97399444367963
31,17990,0.6942609758377075,0.4959999918937683,35.0,0.5156164169311523,0.3297814130783081,1.8753706216812134,0.10378237813711166,5.0,-45.08249318827796,4.714568936911793,-21.80631745786876,-48.524434994479066,,2.7350000000000727,-96.96240071375892
32,18240,0.6922946333885193,0.4880000054836273,30.0,0.4411948025226593,0.2941029965877533,1.4491674900054932,0.06844071298837662,5.0,-47.0126764646858,1.6639068837119124,-38.405953656480015,-48.57553420489393,,2.43056249875021,-86.79051836088925
33,18490,0.6919734406471253,0.5239999890327454,45.0,0.4781530797481537,0.33607354760169983,2.362231731414795,0.10025211423635483,5.0,-47.06204335825414,1.4468525866521351,-42.86118646311231,-48.56554137842592,,2.582933653077436,-99.75854536205088
34,18740,0.6919869060516357,0.5199999809265137,40.0,0.49153828620910645,0.3538249731063843,3.274974822998047,0.09930489957332611,5.0,-44.24388278951344,8.688763247635048,6.820068220737767,-48.61749384982255,,2.1600319265688626,-91.47355261673667
35,18990,0.691945638179779,0.4880000054836273,45.0,0.5010267496109009,0.35147857666015625,2.2504560947418213,0.0687447339296341,5.0,-46.71012950228776,1.6748108373088384,-42.46525244808435,-48.625531898728454,,1.9428731335825074,-90.91962666571686
36,19240,0.691801157951355,0.5559999942779541,40.0,0.4519321620464325,0.3160504698753357,2.44834041595459,0.09708540141582489,5.0,-47.33795945802385,1.2578423308651767,-44.556053842592505,-48.59525275394177,,2.1620000000000874,-93.13022845838444
37,19490,0.6949328389167786,0.46399998664855957,40.0,0.426577627658844,0.32671257853507996,2.099012613296509,0.0758996233344078,5.0,-46.07270142404935,2.4503170172669466,-37.30527566645723,-48.59647480543893,,2.9409999999999275,-91.7177389420753
38,19740,0.6902309503555298,0.4880000054836273,45.0,0.5092698335647583,0.3860742151737213,2.268439769744873,0.10487111657857895,5.0,-45.206455319496776,4.178639640738211,-23.301069346421013,-48.55279552867078,,2.294000000000058,-94.62874854269452
39,19990,0.6894239783287048,0.5600000023841858,55.00000000000001,0.5691867470741272,0.4338281452655792,3.3530845642089844,0.06361360847949982,5.0,-41.825415220156074,9.556501678911866,15.598906269893888,-48.63869133786346,,2.6503639126609615,-96.11563659931784
40,20240,0.6922453474998475,0.5239999890327454,40.0,0.5594550967216492,0.3633929193019867,2.2120189666748047,0.1172066479921341,5.0,-43.74227448839908,7.257131898901858,5.143014520988153,-48.630532435723,,3.1730000000000147,-98.11100334796838
41,20490,0.6928884215354919,0.5239999890327454,35.0,0.4591732323169708,0.2812541127204895,1.7673869132995605,0.06805137544870377,5.0,-46.25401211461865,1.7362641775199206,-40.41147649678874,-48.55079273393245,,2.0650000000000435,-92.59793782616617
42,20740,0.6945370688438416,0.5360000133514404,45.0,0.5383390784263611,0.40238258242607117,2.6583030223846436,0.11165667325258255,10.0,-41.64311429626694,15.44837665127614,76.39950797203645,-48.64513273764507,,3.7029999999998835,-95.06270599575146
43,20990,0.6939249858856201,0.4959999918937683,30.0,0.4514281749725342,0.26725664734840393,1.5017235279083252,0.08407266438007355,5.0,-47.11968900960749,1.445450781860337,-41.41837187997939,-48.55544920589467,,1.9969999999999126,-92.04523494219349
44,21240,0.6908812499046326,0.5400000214576721,45.0,0.5871836543083191,0.3908432424068451,2.771780252456665,0.10688428580760956,5.0,-45.677097563333305,2.3963755104231828,-36.0380804221566,-48.581976655931626,,2.2990000000000146,-92.0452349421944
45,21490,0.6918901619911194,0.5400000214576721,55.00000000000001,0.5702926516532898,0.43949979543685913,2.834703207015991,0.14002461731433868,5.0,-46.74685406018616,1.9053160546632173,-40.71368060649581,-48.597774668493024,,2.4749999999999273,-95.1429401817816
46,21740,0.6955774536132813,0.4959999918937683,40.0,0.5425888895988464,0.3358061611652374,2.0109336376190186,0.10029056668281555,5.0,-44.253709602446946,6.800613686030857,-9.128200860374264,-48.58089529233736,,2.6091815251988217,-99.63521730127519
47,21990,0.6954192986488342,0.5040000081062317,45.0,0.5435940027236938,0.3922281265258789,4.0561203956604,0.10298692435026169,15.0,-32.75211049215107,30.1398805943634,172.99936628683986,-48.400142875796256,,2.4220000000001454,-95.19903363545843
48,22240,0.6934307036399842,0.46799999475479126,45.0,0.5616452693939209,0.3839927017688751,2.3608005046844482,0.08912487328052521,10.0,-40.459770173177,16.952209712844827,78.9957659504461,-48.52708737119765,,2.7340365135805422,-85.94656017429963
49,22490,0.6923196477890015,0.5239999890327454,40.0,0.5027188062667847,0.3316452205181122,2.109607458114624,0.04433475434780121,5.0,-46.927411683069785,1.4241236094544374,-43.4164239651426,-48.600465231492095,,2.5079999999998983,-95.6758114466582
50,22740,0.6914996953010559,0.5479999780654907,35.0,0.43169501423835754,0.31091123819351196,2.709601640701294,0.10042590647935867,5.0,-47.126663974860094,1.4772464195023172,-43.570666815771666,-48.59932868977647,,1.8788435428480734,-88.1578062272832
51,22990,0.693798213005066,0.515999972820282,40.0,0.5281596779823303,0.3333549201488495,2.188770294189453,0.10660851001739502,5.0,-46.12594138747386,2.4228008657282465,-38.365556433128035,-48.585748333606304,,2.263773622637868,-94.34447076199567
52,23240,0.6961660022735596,0.41600000858306885,40.0,0.4308478534221649,0.31958717107772827,2.140144109725952,0.10754716396331787,5.0,-47.160734976699786,1.5675242978217407,-42.20345381875408,-48.56977268694166,,2.4580000000000726,-95.29109804206524
53,23490,0.6926116580963135,0.5080000162124634,45.0,0.5213788747787476,0.3842063844203949,2.355971097946167,0.08566644787788391,5.0,-47.05890192052476,1.5326609109298837,-42.875727261397344,-48.65518398465403,,2.8400000000000873,-97.17501650294602
54,23740,0.6911524739265442,0.5440000295639038,35.0,0.5115979313850403,0.3124264180660248,1.7553415298461914,0.09328392893075943,5.0,-46.64939040947819,1.5930422988334334,-41.14040196788442,-48.57990041888872,,1.8820000000000727,-79.27209729693742
