,sample_len,p1,p2,train_loss,train_acc,test_loss,test_acc,epoch,batch_size
30,6,48,48,0.689220187028249,0.5386666655540466,0.6962668290138244,0.5065000057220459,30,50
31,6,48,48,0.6898277840614319,0.5323333144187927,0.696258086681366,0.49900001287460327,30,100
32,6,48,48,0.6901085705757141,0.5326666831970215,0.6962544150352478,0.5059999823570251,30,200
33,6,48,48,0.6705419066747029,0.5630000233650208,0.704187982082367,0.5070000290870667,60,50
34,6,48,48,0.6900403348604838,0.5346666574478149,0.6962414827346802,0.5009999871253967,60,100
35,6,48,48,0.6899513724644979,0.5333333611488342,0.6969878053665162,0.5019999742507935,60,200
36,6,48,96,0.6890223617553711,0.5360000133514404,0.6969077167510986,0.5055000185966492,30,50
37,6,48,96,0.6898730222384135,0.534333348274231,0.6967347297668457,0.5024999976158142,30,100
38,6,48,96,0.6901138621966044,0.5333333611488342,0.6955352382659912,0.5005000233650208,30,200
39,6,48,96,0.6685108887354533,0.565666675567627,0.7116617078781128,0.5065000057220459,60,50
40,6,48,96,0.6811485772132874,0.5479999780654907,0.7013817386627197,0.5090000033378601,60,100
41,6,48,96,0.69021444606781,0.5336666703224182,0.6964323463439941,0.5015000104904175,60,200
42,6,48,192,0.6892546645800273,0.5379999876022339,0.6957531499862671,0.5080000162124634,30,50
43,6,48,192,0.6895472041765849,0.5326666831970215,0.6965223622322082,0.5049999952316284,30,100
44,6,48,192,0.6900769352912903,0.5339999794960022,0.6966156187057495,0.5009999871253967,30,200
45,6,48,192,0.6718533182144165,0.5580000281333923,0.7063558707237244,0.5099999904632568,60,50
46,6,48,192,0.6804948687553406,0.5529999732971191,0.7013970336914063,0.503000020980835,60,100
47,6,48,192,0.6901868732770284,0.5346666574478149,0.695228171825409,0.5024999976158142,60,200
48,6,96,24,0.6905335558255513,0.5360000133514404,0.6957840032577515,0.5070000290870667,30,50
49,6,96,24,0.69064067029953,0.5366666913032532,0.6948610925674439,0.5055000185966492,30,100
50,6,96,24,0.6902081472078959,0.5350000262260437,0.6970492553710937,0.5055000185966492,30,200
51,6,96,24,0.6622516528765361,0.5786666870117188,0.7062911758422852,0.515500009059906,60,50
52,6,96,24,0.6788142666816711,0.562666654586792,0.7003348512649537,0.5005000233650208,60,100
53,6,96,24,0.6903468677202861,0.5329999923706055,0.6954030857086182,0.5019999742507935,60,200
54,6,96,48,0.6903722144762675,0.5350000262260437,0.6948952779769898,0.5084999799728394,30,50
55,6,96,48,0.6891708030700684,0.5366666913032532,0.6960595664978028,0.5044999718666077,30,100
56,6,96,48,0.690243287563324,0.5326666831970215,0.6967362833023071,0.5015000104904175,30,200
57,6,96,48,0.6642404209772745,0.5766666531562805,0.7026351656913757,0.5105000138282776,60,50
58,6,96,48,0.6903785223960877,0.5329999923706055,0.6950757493972778,0.5065000057220459,60,100
59,6,96,48,0.6851311674118042,0.5453333258628845,0.6969947195053101,0.5044999718666077,60,200
