,sample_len,p1,p2,epoch,batch_size,train_loss,train_acc,test_loss,test_acc,wtl
28,15.0,192.0,96.0,30.0,100.0,0.6837792474428813,0.5375555555025736,0.7186226878166199,0.5000000099341074,1.0200618457108968
29,15.0,192.0,96.0,30.0,200.0,0.6863497835795084,0.5366666714350382,0.7084673523902892,0.5166666507720947,1.0533559637966692
30,15.0,192.0,96.0,60.0,100.0,0.5856760141584608,0.6564444303512573,0.9313073827425639,0.509333332379659,0.9973874277476046
31,15.0,192.0,96.0,60.0,200.0,0.6602306658426921,0.5775555570920309,0.7686209150950113,0.4913333257039388,1.021854980315519
32,15.0,192.0,192.0,30.0,100.0,0.6826571050220066,0.543999989827474,0.7148373815218608,0.5019999841849009,0.9766994872355942
33,15.0,192.0,192.0,30.0,200.0,0.6855996735360886,0.5331111152966818,0.7149454545974732,0.49933334191640216,1.0115652983696666
34,15.0,192.0,192.0,60.0,100.0,0.5700516203244527,0.6608888904253641,0.9872133134206136,0.4940000077088674,1.016281864420308
35,15.0,192.0,192.0,60.0,200.0,0.6512618094550239,0.5897777875264486,0.8122565390268962,0.4840000073115031,0.9990278034954532
36,30.0,48.0,48.0,30.0,100.0,0.6828474580976698,0.5537777741750082,0.7450036911964416,0.5039999981721243,1.0643974201054591
37,30.0,48.0,48.0,30.0,200.0,0.6862788530455695,0.5491111079851786,0.7390708788235982,0.498666654030482,0.964917319347261
38,30.0,48.0,48.0,60.0,100.0,0.6512888445324369,0.5968888799349467,0.7869317351977031,0.515999992688497,1.0085717899526927
39,30.0,48.0,48.0,60.0,200.0,0.6620751868883769,0.5855555534362793,0.7833668624560038,0.5086666544278463,1.006604023484004
40,30.0,48.0,96.0,30.0,100.0,0.6831469125217863,0.551111121972402,0.7350667301813761,0.504666656255722,1.0364932082383975
41,30.0,48.0,96.0,30.0,200.0,0.6858658328056335,0.5535555481910706,0.7312487605412801,0.5013333360354105,0.9962086242668123
42,30.0,48.0,96.0,60.0,100.0,0.6250916110674539,0.6286666591962179,0.8373365194002788,0.49133333563804626,1.1203093264579158
43,30.0,48.0,96.0,60.0,200.0,0.6592299276457892,0.5904444456100464,0.7914892236391703,0.5066666603088379,1.0083339797815232
44,30.0,48.0,192.0,30.0,100.0,0.6820498375362819,0.5555555621782938,0.731654733657837,0.5086666643619537,1.011567789071808
45,30.0,48.0,192.0,30.0,200.0,0.6857708553208246,0.5460000038146973,0.7295102915763856,0.5233333110809326,1.0365055141095818
46,30.0,48.0,192.0,60.0,100.0,0.5894484918382433,0.6724444429079691,0.9817647101084391,0.48533334334691364,1.0075893715285122
47,30.0,48.0,192.0,60.0,200.0,0.6605921449661255,0.586888869603475,0.7572878492673238,0.5013333360354105,1.0038431101282035
48,30.0,96.0,48.0,30.0,100.0,0.6853072918256123,0.5540000001589457,0.7152620677947997,0.5026666720708212,1.040992096625825
49,30.0,96.0,48.0,30.0,200.0,0.6853027191691928,0.5539999802907308,0.7248446631431579,0.5020000139872233,1.0024903700315482
50,30.0,96.0,48.0,60.0,100.0,0.6001430829366048,0.6588888764381409,0.8675311198234558,0.4946666757265727,1.139681736603662
51,30.0,96.0,48.0,60.0,200.0,0.6539847942458259,0.6020000179608663,0.8062232104937236,0.4819999933242798,1.0770713461472006
52,30.0,96.0,96.0,30.0,100.0,0.6825730080074734,0.5526666442553202,0.7327060216267904,0.5093333423137665,1.054544580024855
53,30.0,96.0,96.0,30.0,200.0,0.6859003308614096,0.5480000178019205,0.7352232569058735,0.5120000044504801,1.0454699021743046
54,30.0,96.0,96.0,60.0,100.0,0.5817061660554673,0.6744444370269775,0.9369284896850586,0.4779999951521556,1.0737659014615464
55,30.0,96.0,96.0,60.0,200.0,0.6384872781965467,0.6155555645624796,0.8385696640014647,0.5073333481947581,1.0251182263992804
