,y,date,m,d,lgrpf,lgrau,lgm3,lgm1
175,1985,1985/11/4,11,4,-0.002867587,0.002476526,0,0
176,1985,1985/11/5,11,5,-0.003321304,-0.001002296,0,0
177,1985,1985/11/6,11,6,0.005473767,-0.00026767,0,0
178,1985,1985/11/7,11,7,0.000715124,-0.001878323,0,0
179,1985,1985/11/8,11,8,0.000856597,-0.001414093,0,0
180,1985,1985/11/11,11,11,0.003409591,0.001548529,0,0
181,1985,1985/11/12,11,12,0.001835746,0,0,0
182,1985,1985/11/13,11,13,0.003089078,0.001877743,0,0
183,1985,1985/11/14,11,14,0.004315833,0.001069362,0,0
184,1985,1985/11/15,11,15,-0.00529634,0.000133485,0,0
185,1985,1985/11/18,11,18,-0.000561285,-0.002543264,0,0
186,1985,1985/11/19,11,19,0.005303148,0.001139617,0,0
187,1985,1985/11/20,11,20,0.005650111,0.00173718,0,0
188,1985,1985/11/21,11,21,-0.012500544,0.000199997,0,0
189,1985,1985/11/22,11,22,0.001266371,0.000932106,0,0
190,1985,1985/11/25,11,25,0.001402761,0.004893883,0,0
191,1985,1985/11/26,11,26,-0.003797903,0.001378818,0,0
192,1985,1985/11/27,11,27,-0.014216893,-0.004083478,0,0
193,1985,1985/12/2,12,2,0,-0.008891431,0,0
194,1985,1985/12/3,12,3,-0.01019136,0.001483386,0,0
195,1985,1985/12/4,12,4,-0.006322596,0.002148647,0,0
196,1985,1985/12/5,12,5,0.003624175,-0.001879484,0,0
197,1985,1985/12/6,12,6,-0.002110425,-0.000673221,0,0
198,1985,1985/12/9,12,9,-0.018996173,-0.006653383,0,0
199,1985,1985/12/10,12,10,-0.03757334,-0.00054766,0,0
200,1985,1985/12/11,12,11,0.025893322,-0.002059899,0,0
201,1985,1985/12/12,12,12,0.007555934,0.002744366,0,0
202,1985,1985/12/13,12,13,0.001908291,0.00034183,0,0
203,1985,1985/12/16,12,16,-0.001589659,0.001160212,0,0
204,1985,1985/12/17,12,17,-0.013752325,0.003462155,0,0
205,1985,1985/6/25,6,25,0.005390973,-0.007708563,0,0
206,1985,1985/6/26,6,26,0.003073805,0.00171726,0,0
207,1985,1985/6/27,6,27,0.002411414,-0.00240607,0,0
208,1985,1985/12/20,12,20,-0.021694586,0.014307146,0,0
209,1985,1985/12/23,12,23,-0.003383691,0.002726193,0,0
210,1985,1985/12/26,12,26,0.010901959,-0.003661022,0,0
211,1985,1985/12/27,12,27,0.010958115,0.002665618,0,0
212,1985,1985/12/30,12,30,-0.003730657,-6.64414E-05,0,0
213,1985,1985/12/31,12,31,-0.005904397,0,0,0
214,1985,1985/7/10,7,10,0.020165855,-0.01617835,0,0
215,1985,1985/7/11,7,11,-0.002846806,-0.001796893,0,0
216,1985,1985/7/12,7,12,-0.00414528,0.002898989,0,0
217,1985,1985/7/15,7,15,0.003192183,0.000275088,0,0
218,1985,1985/1/16,1,16,-0.027742575,-0.01846846,0,0
219,1985,1985/1/17,1,17,0.001184979,0.003998794,0,0
220,1985,1985/1/18,1,18,-0.000169085,0.003539502,0,0
221,1985,1985/1/21,1,21,0.00487693,-0.001058825,0,0
222,1985,1985/1/22,1,22,-0.007081045,-0.000495003,0,0
223,1985,1985/1/23,1,23,-0.002899287,-0.009513872,0,0
224,1985,1985/1/24,1,24,-0.001714548,0.000867,0,0
225,1985,1985/1/25,1,25,-0.000515687,-0.002896756,0,0
226,1985,1985/1/28,1,28,-0.000344132,-0.00160149,0,0
227,1985,1985/1/29,1,29,0.002574367,0.007949039,0,0
228,1985,1985/1/30,1,30,0.004934251,-0.000501536,0,0
229,1985,1985/1/31,1,31,0.012342533,0.005343696,0,0
230,1985,1985/2/1,2,1,0.005393002,-0.004341202,0,0
231,1985,1985/1/14,1,14,-0.01018823,-0.006630579,0,0
232,1985,1985/1/15,1,15,-0.00350576,0.004048047,0,0
233,1985,1985/2/27,2,27,0.012881161,-0.016124833,0,0
234,1985,1985/2/28,2,28,0.000650385,-0.00457907,0,0
235,1985,1985/3/1,3,1,0.007569945,-0.000755295,0,0
236,1985,1985/3/4,3,4,0.008537553,0.002111524,0,0
237,1985,1985/3/5,3,5,-0.002984854,-0.001129897,0,0
238,1985,1985/3/6,3,6,0.003454277,-0.000754901,0,0
239,1985,1985/3/7,3,7,0.004821224,0.003311794,0,0
240,1985,1985/3/8,3,8,-0.005290647,0.002094431,0,0
241,1985,1985/1/9,1,9,-0.037760097,0.013951487,0,0
242,1985,1985/1/10,1,10,0.005599499,0.004743293,0,0
243,1985,1985/1/11,1,11,0.00016856,0.000642817,0,0
244,1985,1985/12/18,12,18,0.012622831,0.021987245,0,0
245,1985,1985/12/19,12,19,-0.007596219,0.007733248,0,0
246,1985,1985/1/2,1,2,-0.002506034,-0.027939865,0,0
247,1985,1985/1/3,1,3,-0.001342488,-0.004573067,0,0
248,1985,1985/1/4,1,4,-0.011236784,0.001219425,0,0
249,1985,1985/1/7,1,7,0.006505124,-0.00707712,0,0
250,1985,1985/1/8,1,8,-0.001361426,0.005426491,0,0
251,1988,1988/7/5,7,5,-0.227510184,0.160971114,0.083365963,0.091682241
252,1988,1988/6/29,6,29,0.009676686,-0.003938867,0,0
253,1988,1988/6/30,6,30,-0.007666725,0.002994802,0,0
254,1988,1988/7/1,7,1,-0.006348604,0.000298347,0,0
255,1988,1988/7/15,7,15,-0.002331788,0.002231097,0,0
256,1988,1988/7/18,7,18,0.023880843,-0.003425719,0,0
257,1988,1988/7/19,7,19,-0.013199749,0.000597722,0,0
258,1988,1988/7/20,7,20,0.012091854,0.008429339,0,0
259,1988,1988/2/12,2,12,0.029223054,-0.001173241,0,0
260,1988,1988/2/16,2,16,-0.002079212,0.001368474,0,0
261,1988,1988/7/6,7,6,-0.035544384,-0.008077381,0,0
262,1988,1988/7/7,7,7,0.013089699,0.004057469,0,0
263,1988,1988/7/8,7,8,-0.010271425,-0.001480046,0,0
264,1988,1988/7/11,7,11,-0.019535056,-0.002577423,0,0
265,1988,1988/7/12,7,12,-0.001766624,-0.002993082,0,0
266,1988,1988/7/13,7,13,-0.008340617,0.001199709,0,0
267,1988,1988/7/14,7,14,0.009519164,0.005703064,0,0
268,1988,1988/2/26,2,26,0.029020641,-0.010269609,0,0
269,1988,1988/2/29,2,29,0.006284333,-0.004360219,0,0
270,1988,1988/3/1,3,1,-0.00793879,0.003198396,0,0
271,1988,1988/3/2,3,2,-0.001383545,-0.000404842,0,0
272,1988,1988/3/3,3,3,-0.004737298,0.000202468,0,0
273,1988,1988/3/4,3,4,0.002514417,0.002724123,0,0
