date,y,m,d,BIGpf,BIGau
1984/2/7,1984,2,7,-17.31409,-11.99157
1984/2/8,1984,2,8,0,73.7071
1984/2/9,1984,2,9,-30.46675,-36.69718
1984/2/10,1984,2,10,0,-61.09285
1984/2/13,1984,2,13,-29.21602,-9.20969
1984/2/14,1984,2,14,16.09313,-9.80675
1984/2/15,1984,2,15,13.12289,80.10929
1984/2/16,1984,2,16,11.6316,10.19338
1984/2/17,1984,2,17,-1.45225,-19.84248
1984/2/21,1984,2,21,-16.00685,77.15737
1984/2/22,1984,2,22,0,69.22277
1984/2/23,1984,2,23,18.91086,32.83906
1984/2/24,1984,2,24,26.04906,-27.34861
1984/2/27,1984,2,27,98.43193,-24.76187
1984/2/28,1984,2,28,-48.22392,63.00188
1984/2/29,1984,2,29,14.23918,-54.73223
1984/3/1,1984,3,1,25.51346,-16.55508
1984/3/2,1984,3,2,-4.24185,68.56702
1984/3/5,1984,3,5,11.3024,73.92655
1984/3/6,1984,3,6,-7.06055,-35.99666
1984/3/7,1984,3,7,2.8256,-40.65189
1984/3/8,1984,3,8,7.05596,-16.3679
1984/3/9,1984,3,9,26.7086,28.87498
1984/3/12,1984,3,12,-11.22571,-45.30481
1984/3/13,1984,3,13,-7.03083,16.42982
1984/3/14,1984,3,14,7.03083,27.24567
1984/3/15,1984,3,15,-8.43837,-57.41465
1984/3/16,1984,3,16,-29.66407,-19.30814
1984/3/19,1984,3,19,-21.31337,9.38896
1984/3/20,1984,3,20,4.27105,2.7576
1984/3/21,1984,3,21,-14.2532,-16.57193
1984/3/22,1984,3,22,18.52005,-33.33478
1984/3/23,1984,3,23,8.52115,-16.20399
1984/3/26,1984,3,26,-2.83853,-5.60163
1984/3/27,1984,3,27,18.41734,16.22487
1984/3/28,1984,3,28,-9.90733,-34.76169
1984/3/29,1984,3,29,29.65443,50.36977
1984/3/30,1984,3,30,-1.40753,-19.51889
1984/4/2,1984,4,2,-7.04452,-14.55675
1984/4/3,1984,4,3,7.04452,-76.9484
1984/4/4,1984,4,4,-5.6347,9.69344
1984/4/5,1984,4,5,-4.23083,-5.70E-01
1984/4/6,1984,4,6,-4.23495,-10.83669
1984/4/9,1984,4,9,-4.23909,24.48661
1984/4/10,1984,4,10,8.47404,-11.94133
1984/4/11,1984,4,11,2.82101,35.72593
1984/4/12,1984,4,12,-14.12341,-29.46686
1984/4/13,1984,4,13,-2.8302,-30.24069
1984/4/16,1984,4,16,1.41533,9.7228
1984/4/17,1984,4,17,-4.24738,1.14243
1984/4/18,1984,4,18,-22.72311,3.65376
1984/4/19,1984,4,19,2.8469,49.70423
1984/4/23,1984,4,23,7.10909,0
1984/4/24,1984,4,24,8.51558,-18.65748
1984/4/25,1984,4,25,-11.35782,-10.77866
1984/4/26,1984,4,26,-9.96252,-27.35004
1984/4/27,1984,4,27,-7.1301,-7.43704
1984/4/30,1984,4,30,-24.33029,-39.68814
1984/5/1,1984,5,1,4.3035,8.08205
1984/5/2,1984,5,2,-17.23963,9.79374
1984/5/3,1984,5,3,-1.43973,13.2153
1984/5/4,1984,5,4,12.94042,-20.70264
1984/5/7,1984,5,7,-12.94042,0
1984/5/8,1984,5,8,8.63123,-60.36802
1984/5/9,1984,5,9,17.21116,12.84032
1984/5/10,1984,5,10,0,-9.91873
1984/5/11,1984,5,11,2.86191,8.753
1984/5/14,1984,5,14,32.7771,5.83E-01
1984/5/15,1984,5,15,1.41949,8.15249
1984/5/16,1984,5,16,53.59987,23.20885
1984/5/17,1984,5,17,-35.18853,14.4428
1984/5/18,1984,5,18,2.8256,-10.39397
1984/5/21,1984,5,21,25.348,59.14328
1984/5/22,1984,5,22,-36.66144,-14.28132
1984/5/23,1984,5,23,-9.9235,-10.8853
1984/5/24,1984,5,24,21.23694,-33.39857
1984/5/25,1984,5,25,18.32172,97.73967
1984/5/29,1984,5,29,-23.97475,15.79665
1984/5/30,1984,5,30,14.11882,9.00093
1984/5/31,1984,5,31,2.81826,-24.23242
1984/6/1,1984,6,1,-18.35149,106.06691
1984/6/4,1984,6,4,7.06745,-30.43809
1984/6/5,1984,6,5,-2.8256,30.43809
1984/6/6,1984,6,6,-25.51346,-23.22436
1984/6/7,1984,6,7,-21.37631,6.09458
1984/6/8,1984,6,8,-4.28792,-69.20285
1984/6/11,1984,6,11,-31.57475,-39.55865
1984/6/12,1984,6,12,2.87994,-86.00172
1984/6/13,1984,6,13,-10.08815,-11.59666
1984/6/14,1984,6,14,11.5274,18.53981
1984/6/15,1984,6,15,-21.63903,-88.77765
1984/6/18,1984,6,18,-34.84829,-1.18031
1984/6/19,1984,6,19,11.64719,31.75627
1984/6/20,1984,6,20,-18.94258,-7.03691
1984/6/21,1984,6,21,-58.80855,8.79436
1984/6/22,1984,6,22,-11.85788,40.80649
1984/6/25,1984,6,25,42.83163,-58.41305
1984/6/26,1984,6,26,-28.01434,2.93939
1984/6/27,1984,6,27,-16.30181,-2.11616
1984/6/28,1984,6,28,45.78559,41.89556
1984/6/29,1984,6,29,27.8254,1.74661
1984/7/2,1984,7,2,-23.42005,-35.6532
1984/7/3,1984,7,3,-13.22949,-19.4105
1984/7/5,1984,7,5,10.29309,-42.05845
1984/7/6,1984,7,6,11.73373,-139.72659
1984/7/9,1984,7,9,-26.44562,-185.23497
1984/7/10,1984,7,10,-10.32805,73.15276
1984/7/11,1984,7,11,-7.39225,-63.54093
1984/7/12,1984,7,12,-40.13703,24.25519
1984/7/13,1984,7,13,-19.45834,48.73719
1984/7/16,1984,7,16,-10.51379,63.73016
1984/7/17,1984,7,17,16.51026,-36.74941
1984/7/18,1984,7,18,-25.54239,-17.54981
1984/7/19,1984,7,19,-19.63428,55.53953
1984/7/20,1984,7,20,-31.90563,-102.90036
1984/7/23,1984,7,23,-19.86922,-89.81299
1984/7/24,1984,7,24,-30.74664,45.13866
1984/7/25,1984,7,25,-23.20368,41.4985
1984/7/26,1984,7,26,-35.82152,31.02343
1984/7/27,1984,7,27,-10.96111,-114.42079
1984/7/30,1984,7,30,-9.4173,41.89886
1984/7/31,1984,7,31,-6.28957,49.11659
1984/8/1,1984,8,1,82.6065,-42.70634
1984/8/2,1984,8,2,142.753,63.58744
1984/8/3,1984,8,3,-43.54242,65.77972
1984/8/6,1984,8,6,51.00581,0
1984/8/7,1984,8,7,28.24448,-91.10309
1984/8/8,1984,8,8,10.35973,31.6312
1984/8/9,1984,8,9,-4.43686,-3.15277
1984/8/10,1984,8,10,-40.13703,31.42521
1984/8/13,1984,8,13,10.44157,-40.89728
1984/8/14,1984,8,14,14.87311,130.76521
1984/8/15,1984,8,15,-8.91775,-38.19894
1984/8/16,1984,8,16,-29.8588,16.67634
1984/8/17,1984,8,17,5.9882,-3.08338
1984/8/20,1984,8,20,60.9077,-33.44078
1984/8/21,1984,8,21,36.72392,-41.22487
1984/8/22,1984,8,22,27.70396,-12.57004
1984/8/23,1984,8,23,-16.01758,77.97238
1984/8/24,1984,8,24,20.37578,-15.48289
1984/8/27,1984,8,27,-7.2661,0
1984/8/28,1984,8,28,1.45419,-3.10321
1984/8/29,1984,8,29,-17.48253,9.30299
1984/8/30,1984,8,30,-69.15898,-40.45768
1984/8/31,1984,8,31,-7.42257,12.48871
1984/9/4,1984,9,4,-28.32203,-88.82103
1984/9/5,1984,9,5,-23.99423,-37.71217
1984/9/6,1984,9,6,59.73883,28.79311
1984/9/7,1984,9,7,-8.90861,-9.57651
1984/9/10,1984,9,10,20.7584,-16.64947
1984/9/11,1984,9,11,25.07396,23.67431
1984/9/12,1984,9,12,-32.47629,-23.03276
1984/9/13,1984,9,13,5.92287,-21.22121
1984/9/14,1984,9,14,-10.37033,58.90565
1984/9/17,1984,9,17,-11.88221,-79.58331
1984/9/18,1984,9,18,5.94517,19.38818
1984/9/19,1984,9,19,56.07686,41.71313
1984/9/20,1984,9,20,-5.86885,-15.99613
1984/9/21,1984,9,21,-16.18034,60.47438
1984/9/24,1984,9,24,1.47343,53.40397
1984/9/25,1984,9,25,10.30006,-34.48044
1984/9/26,1984,9,26,-1.46994,13.82504
1984/9/27,1984,9,27,5.87679,-10.67912
1984/9/28,1984,9,28,11.72977,-18.9098
1984/10/1,1984,10,1,4.39051,20.79626
1984/10/2,1984,10,2,-10.25143,-1.88646
1984/10/3,1984,10,3,-11.74563,40.69095
1984/10/4,1984,10,4,-10.30355,-28.13
1984/10/5,1984,10,5,-10.32805,-30.8391
1984/10/8,1984,10,8,-4.43384,-27.8801
1984/10/9,1984,10,9,11.81353,-7.63483
1984/10/10,1984,10,10,-17.73236,-41.59021
1984/10/11,1984,10,11,-7.40991,4.49813
1984/10/12,1984,10,12,-32.75462,10.26398
1984/10/15,1984,10,15,-40.53945,-3.20489
1984/10/16,1984,10,16,-18.13972,10.88699
1984/10/17,1984,10,17,-126.02493,13.41106
1984/10/18,1984,10,18,-48.61264,-13.41106
1984/10/19,1984,10,19,25.15833,0
1984/10/22,1984,10,22,116.02502,-14.09424
1984/10/23,1984,10,23,-13.76044,20.48563
1984/10/24,1984,10,24,22.90991,0
1984/10/25,1984,10,25,21.27409,-19.20244
1984/10/26,1984,10,26,-10.62402,-11.56235
1984/10/29,1984,10,29,-25.90991,-17.40145
1984/10/30,1984,10,30,-29.14224,-9.69769
1984/10/31,1984,10,31,36.77886,-25.96686
1984/11/1,1984,11,1,42.51868,3.90494
1984/11/2,1984,11,2,-13.62137,119.34386
1984/11/5,1984,11,5,-15.18514,-8.23548
1984/11/6,1984,11,6,22.75784,46.04429
1984/11/7,1984,11,7,4.53729,18.78168
1984/11/8,1984,11,8,-7.56479,-6.25154
1984/11/9,1984,11,9,-22.77375,-3.75525
1984/11/12,1984,11,12,-16.77698,-13.169
1984/11/13,1984,11,13,6.10822,58.63876
1984/11/14,1984,11,14,-3.05304,-58.01075
1984/11/15,1984,11,15,-32.18714,-25.82282
1984/11/16,1984,11,16,-23.13775,15.76388
1984/11/19,1984,11,19,-38.83897,-20.18804
1984/11/20,1984,11,20,3.11993,-9.49555
1984/11/21,1984,11,21,-17.18743,-29.88787
1984/11/26,1984,11,26,-91.76691,-43.60938
1984/11/27,1984,11,27,23.91935,-51.87216
1984/11/28,1984,11,28,1.58995,-51.17897
1984/11/29,1984,11,29,25.36033,21.06951
1984/11/30,1984,11,30,-26.95028,-21.06951
1984/12/3,1984,12,3,-1.59053,6.59521
1984/12/4,1984,12,4,34.85783,32.82665
1984/12/5,1984,12,5,28.3134,-27.55768
1984/12/6,1984,12,6,-3.13683,11.17537
1984/12/7,1984,12,7,-34.65553,-49.521
1984/12/10,1984,12,10,-1.58184,-9.97232
1984/12/11,1984,12,11,-31.75842,6.65076
1984/12/12,1984,12,12,-85.30053,-30.00895
1984/12/13,1984,12,13,-24.44899,-3.34716
1984/12/14,1984,12,14,-19.65878,-23.50266
1984/12/17,1984,12,17,57.09118,-102.19165
1984/12/18,1984,12,18,-1.6208,-83.52074
1984/12/19,1984,12,19,-66.97922,4.21441
1984/12/20,1984,12,20,-8.23932,-25.348
1984/12/21,1984,12,21,27.95015,49.15269
1984/12/26,1984,12,26,47.2684,0
1984/12/27,1984,12,27,-73.56943,0
1984/12/28,1984,12,28,11.52631,-25.20904
1985/1/2,1985,1,2,-81.33404,-52.28271
1985/1/3,1985,1,3,-13.42488,-45.73067
1985/1/4,1985,1,4,-112.36784,12.19425
1985/1/7,1985,1,7,65.05124,-70.7712
1985/1/8,1985,1,8,-13.61426,54.26491
1985/1/9,1985,1,9,-8.53063,-21.62467
1985/1/10,1985,1,10,55.99499,47.43293
1985/1/11,1985,1,11,1.6856,6.42817
1985/1/14,1985,1,14,58.58754,-75.59399
1985/1/15,1985,1,15,-35.0576,40.48047
1985/1/16,1985,1,16,-48.88288,12.93186
1985/1/17,1985,1,17,11.84979,39.98794
1985/1/18,1985,1,18,-1.69085,35.39502
1985/1/21,1985,1,21,48.7693,-10.58825
1985/1/22,1985,1,22,-70.81045,-4.95003
1985/1/23,1985,1,23,-28.99287,-95.13872
1985/1/24,1985,1,24,-17.14548,8.67
1985/1/25,1985,1,25,-5.15687,-28.96756
1985/1/28,1985,1,28,-3.44132,-16.0149
1985/1/29,1985,1,29,25.74367,79.49039
1985/1/30,1985,1,30,49.34251,-5.01536
1985/1/31,1985,1,31,123.42533,53.43696
1985/2/1,1985,2,1,53.93002,-43.41202
1985/2/4,1985,2,4,-35.87883,-33.74712
1985/2/5,1985,2,5,42.37053,11.51784
1985/2/6,1985,2,6,46.77683,11.48738
1985/2/7,1985,2,7,22.40286,-17.24248
1985/2/8,1985,2,8,60.23159,-26.71701
1985/2/11,1985,2,11,70.26309,5.06719
1985/2/12,1985,2,12,-106.61916,33.87031
1985/2/13,1985,2,13,72.41033,10.03818
1985/2/14,1985,2,14,-3.1233,13.58624
1985/2/15,1985,2,15,0,-2.14237
1985/2/19,1985,2,19,-80.4126,-20.0466
1985/2/20,1985,2,20,-17.54083,4.3035
1985/2/21,1985,2,21,-6.39609,-43.9522
1985/2/22,1985,2,22,-61.23734,-21.05234
1985/2/25,1985,2,25,-52.24658,-210.98345
