BIGau,Ndate,BIGpf,LGdija,usdin,loggas,logauf
-9.60891,1995/5/15,83.73263,6.76808,-20.17211367,174.1508368,15.8254281
1.13156,1995/5/16,39.10632,-2.3691,9.83914468,-32.75807968,0
-10.76179,1995/5/17,-26.03172,-12.20859,17.03623926,-56.00592622,-13.56111896
1.13408,1995/5/18,8.69459,-81.23893,-12.38336061,121.2768457,0
0,1995/5/19,13.00933,0.69,17.0180327,-4.986159927,-12.46833507
-16.47316,1995/5/22,-54.46453,53.98329,-5.149941098,-30.03777843,-2.270820872
5.11905,1995/5/23,-8.77806,40.13484,13.37716557,69.76768221,11.34224938
12.48789,1995/5/24,-79.81134,1.68343,-15.43885316,129.0681337,11.31270454
30.50071,1995/5/25,-33.69253,-25.44812,-109.1079041,-84.80217478,14.6625987
-3.37841,1995/5/26,-130.46981,-42.76098,-55.8671356,-14.70524481,8.998593883
2.81552,1995/5/30,20.86287,9.61163,22.96588113,-127.0467341,-14.63219802
-16.3555,1995/5/31,25.3637,84.91873,60.30495304,0,-1.127598298
-9.05016,1995/6/1,2.29846,7.39544,-2.101848713,42.76319632,10.13786049
7.35469,1995/6/2,54.80129,-27.62463,-3.680684733,-119.2703684,-14.65118365
-10.18674,1995/6/5,24.888,31.31278,-8.951814254,109.2462559,7.895240126
10.75197,1995/6/6,-43.07838,8.38374,12.63249899,-114.3949759,1.126720675
19.17418,1995/6/7,15.92074,-22.49328,-11.05142568,17.9938782,17.98788932
-9.57651,1995/6/8,-50.23441,-3.36896,-4.217475271,10.24884209,0
15.1999,1995/6/9,-25.3368,-33.81453,-4.221574883,17.87748113,17.91369312
12.34589,1995/6/12,13.83839,22.00253,3.694102384,20.3416991,-8.947610312
-5.60742,1995/6/13,11.4984,37.00607,11.0634913,-10.15893988,-8.966082811
8.40841,1995/6/14,32.03451,6.35794,-28.50612158,-25.50180445,13.44219227
8.39217,1995/6/15,-25.15005,5.01591,21.66061757,-64.41744946,37.86181002
31.18825,1995/6/16,-22.99076,14.00226,-13.72346369,-118.4154041,-13.32533335
-8.8881,1995/6/19,-145.32526,41.09899,-0.528692534,-21.39386011,16.65028807
2.77948,1995/6/20,-50.3466,-2.97663,-20.66937185,-45.81492188,-8.872209049
-0.556,1995/6/21,-134.69473,-3.3034,15.37890364,-104.1918047,-10.00294834
-11.68731,1995/6/22,9.93809,40.44117,8.989965088,0,-1.112862227
-5.01849,1995/6/23,-2.48239,-3.59724,-31.81270349,-92.55576586,5.561461663
-2.2323,1995/6/26,37.08771,-32.88206,14.34456135,78.65833058,0
4.46346,1995/6/27,31.88847,-8.25239,-6.369511998,24.98345232,-8.901760368
-12.84483,1995/6/28,48.60649,13.53562,39.65704325,-103.6417829,-22.33455588
-10.63967,1995/6/29,-100.23566,-5.9417,-47.09996678,-34.15177352,6.712435369
-2.80425,1995/6/30,-39.75263,5.28403,5.849084815,28.47842873,-40.43112042
-31.53196,1995/7/5,-55.26089,28.39801,-3.195691696,-167.8362082,-4.515669571
-1.13039,1995/7/6,47.76659,45.65193,-2.664873876,-2.951372739,0
18.05097,1995/7/7,-57.89001,35.91503,30.28305801,84.78586328,16.90960534
0.563,1995/7/10,50.38276,-0.314,1.588010799,184.2308283,0
-11.83595,1995/7/11,-5.01205,-20.17117,20.5914735,-106.7530483,1.124969523
21.95544,1995/7/12,42.41922,43.10717,-1.053601368,25.52178639,40.30604169
27.9866,1995/7/13,-60.0071,0.175,-21.12588293,-140.8024717,-8.924626452
-8.9361,1995/7/14,17.58788,-17.17611,0.529401454,72.40822643,4.464605707
0,1995/7/17,-30.19441,25.26197,14.26949992,-52.01193686,3.345444884
13.39727,1995/7/18,37.71032,-46.10052,-18.50651959,89.19246203,3.342869814
9.46479,1995/7/19,-5.00916,-53.5325,-23.91056592,-86.28651022,-18.97704136
-40.22826,1995/7/20,-80.94249,11.88049,11.70605781,-93.96866535,-21.30822908
-10.11556,1995/7/21,-56.53617,0,9.024028416,-74.85440078,5.617572661
7.86969,1995/7/24,23.21746,25.30144,-9.555438,-163.0911265,8.973029678
0.562,1995/7/25,12.84516,42.37857,17.50227429,144.9324457,-10.09596306
-7.86867,1995/7/26,143.81091,-6.813,-21.22396316,113.7431678,4.489992459
-3.37666,1995/7/27,-2.48239,23.65665,-4.257267655,58.68933664,-36.05059202
-30.50865,1995/7/28,-14.92422,-15.86729,-1.59755191,95.13634924,-11.3274577
3.96694,1995/7/31,32.27124,-6.48863,7.981889435,252.0362705,-6.810683287
-5.66816,1995/8/1,34.48755,-7.47762,-23.98981327,-438.4823849,6.810683287
-2.26934,1995/8/2,19.5849,-9.45313,57.35447022,-111.556955,0
15.29507,1995/8/3,-14.68039,10.42318,-15.32650203,30.43421578,15.85018117
0,1995/8/4,-2.45156,-16.62235,7.934253749,72.18357005,-11.3156521
1.13083,1995/8/7,-14.73851,9.13351,25.81800702,65.13059082,3.397792443
4.52037,1995/8/8,34.31238,0,3.150866996,-20.61761331,9.047804979
-1.12965,1995/8/9,-2.44191,-20.24743,2.623977374,196.259471,-1.129945322
-3.9561,1995/8/10,26.78584,-25.9501,24.58820114,-99.90783576,-1.130239387
-5.65782,1995/8/11,-7.28886,-23.78273,54.43332446,-2.888556687,-7.919922407
-0.566,1995/8/14,-93.40026,38.90728,-5.670651053,133.7271758,6.789388802
32.15548,1995/8/15,-2.48523,-17.76273,95.91293446,25.14417019,13.54701848
-49.17554,1995/8/16,19.84216,-1.64734,10.58333465,-90.07078132,-31.67569523
26.63522,1995/8/17,27.13578,-7.91781,-23.72234459,8.523937612,14.7353091
1.69459,1995/8/18,51.33853,-12.23772,14.14805846,131.4026251,11.30092966
2.25842,1995/8/21,91.38316,-2.65308,0,111.4682395,-2.257834633
-7.34417,1995/8/22,68.46861,5.30453,14.1021178,-139.0952081,-14.70460648
-14.7257,1995/8/23,-128.37225,-33.56323,-11.07637814,2.770618798,4.52979944
14.16025,1995/8/24,-33.91051,-4.00867,-14.64397641,19.34499777,-3.396906563
-10.19072,1995/8/25,0,19.65723,-5.567554286,316.3284787,-1.132892877
0,1995/8/28,-9.73755,-6.98997,-7.603640377,-98.53073546,0
-1.13378,1995/8/29,0,13.62947,25.29386777,95.9662566,-10.2093565
-15.33507,1995/8/30,-7.31752,-3.64858,0.504377774,23.0259764,-11.37194894
7.95828,1995/8/31,12.18902,5.64599,-25.29092181,115.8187255,17.04677638
-9.66552,1995/9/1,48.41683,34.69458,-5.583823224,-19.92180016,-22.74393687
-23.97216,1995/9/5,128.09176,21.01184,2.538991489,-98.4493467,-6.846472494
7.4341,1995/9/6,-51.73033,12.74949,29.34433339,-148.0250041,3.424585394
15.96882,1995/9/7,-21.3413,-13.08429,5.039388845,-47.81271946,28.43368032
10.80264,1995/9/8,40.22369,28.73542,-9.579843852,42.52611525,-10.21469264
-3.40846,1995/9/11,7.05979,3.89706,0.504729482,34.24845328,12.48136535
11.35114,1995/9/12,39.79013,38.84354,-1.514364455,-5.251445403,29.35959317
20.35759,1995/9/13,-23.36178,16.71853,52.19224603,172.5559334,-10.14049063
2.25608,1995/9/14,72.01625,32.93771,-10.48840038,-177.8137364,14.63978636
-1.12789,1995/9/15,16.09778,-3.82747,6.495805462,18.37452951,-5.62484837
4.50981,1995/9/18,2.29482,-15.56174,-20.51985812,-143.8016227,4.500461355
-6.20219,1995/9/19,4.586,-12.1635,23.51464837,-40.80466741,-1.124678193
-3.95147,1995/9/20,-59.99913,23.30543,-31.54877219,19.08989807,-16.90521722
-12.44236,1995/9/21,-270.8479,-22.97747,-130.0914707,48.70643371,5.642387203
1.1326,1995/9/22,-77.35412,-2.96165,28.39042202,79.98282818,-20.34699368
-8.50169,1995/9/25,55.03806,5.26579,17.97047769,305.9676759,2.265490306
11.89771,1995/9/26,-34.94342,-3.94419,4.097118058,-2.462684965,7.919922407
-0.566,1995/9/27,59.73199,-2.96277,-23.0967296,-92.1152092,-4.523901262
